"Registered" "Date" "Year" "Month" "Day" "Hour" "Holiday" "WorkDay" "Weather" "Temp" "TempFeel" "Humidity" "Windspeed" "Casual"
"14851" 182 "2012-09-15" "2012" 9 6 23 0 0 1 0.54 0.5152 0.6 0 47
"10745" 415 "2012-03-28" "2012" 3 3 19 0 1 1 0.6 0.6212 0.56 0.194 41
"13374" 117 "2012-07-16" "2012" 7 1 10 0 1 1 0.8 0.7727 0.59 0 69
"6175" 204 "2011-09-19" "2011" 9 1 20 0 1 2 0.56 0.5303 0.68 0.1343 27
"13891" 97 "2012-08-06" "2012" 8 1 23 0 1 1 0.72 0.697 0.74 0.194 16
"4704" 194 "2011-07-19" "2011" 7 2 21 0 1 1 0.74 0.7121 0.74 0.1343 47
"14281" 36 "2012-08-23" "2012" 8 4 5 0 1 1 0.62 0.5758 0.83 0 1
"146" 190 "2011-01-07" "2011" 1 5 8 0 1 1 0.2 0.197 0.51 0.2537 20
"8368" 261 "2011-12-20" "2011" 12 2 7 0 1 2 0.36 0.3788 0.62 0 7
"17352" 63 "2012-12-30" "2012" 12 0 20 0 0 1 0.22 0.197 0.47 0.3284 9
"15057" 248 "2012-09-24" "2012" 9 1 13 0 1 1 0.6 0.6212 0.31 0.2985 80
"2389" 68 "2011-04-14" "2011" 4 4 10 0 1 1 0.5 0.4848 0.51 0.194 21
"2580" 178 "2011-04-22" "2011" 4 5 9 0 1 3 0.34 0.303 0.61 0.2985 17
"2827" 220 "2011-05-02" "2011" 5 1 16 0 1 1 0.66 0.6212 0.61 0.2239 49
"11636" 111 "2012-05-05" "2012" 5 6 0 0 0 1 0.6 0.5606 0.83 0 42
"1274" 9 "2011-02-26" "2011" 2 6 5 0 0 2 0.22 0.2424 0.64 0.1045 1
"10024" 266 "2012-02-27" "2012" 2 1 16 0 1 1 0.54 0.5152 0.26 0.4478 20
"5875" 74 "2011-09-07" "2011" 9 3 6 0 1 3 0.6 0.5455 0.88 0.1045 1
"3843" 18 "2011-06-14" "2011" 6 2 0 0 1 1 0.6 0.6212 0.49 0.194 13
"3037" 124 "2011-05-11" "2011" 5 3 10 0 1 1 0.54 0.5152 0.68 0.0896 30
"12044" 26 "2012-05-22" "2012" 5 2 0 0 1 1 0.58 0.5455 0.83 0.2537 10
"12530" 136 "2012-06-11" "2012" 6 1 6 0 1 1 0.62 0.5758 0.83 0.1045 8
"15185" 219 "2012-09-29" "2012" 9 6 21 0 0 1 0.52 0.5 0.55 0.1343 73
"1501" 53 "2011-03-07" "2011" 3 1 21 0 1 1 0.28 0.2727 0.38 0.2239 1
"3892" 13 "2011-06-16" "2011" 6 4 1 0 1 1 0.58 0.5455 0.6 0 4
"3068" 540 "2011-05-12" "2011" 5 4 17 0 1 2 0.64 0.6212 0.57 0.194 54
"9285" 363 "2012-01-27" "2012" 1 5 18 0 1 1 0.4 0.4091 0.5 0.4925 20
"344" 60 "2011-01-15" "2011" 1 6 19 0 0 2 0.32 0.303 0.39 0.2537 14
"11761" 23 "2012-05-10" "2012" 5 4 5 0 1 1 0.46 0.4545 0.72 0.2985 1
"11265" 186 "2012-04-19" "2012" 4 4 13 0 1 1 0.56 0.5303 0.46 0 52
"4378" 288 "2011-07-06" "2011" 7 3 7 0 1 2 0.72 0.697 0.79 0 24
"3660" 162 "2011-06-06" "2011" 6 1 9 0 1 1 0.7 0.6515 0.58 0.1642 26
"12306" 22 "2012-06-01" "2012" 6 5 22 0 1 3 0.6 0.5455 0.88 0.1343 1
"7298" 207 "2011-11-05" "2011" 11 6 16 0 0 1 0.4 0.4091 0.4 0.2239 128
"14831" 31 "2012-09-15" "2012" 9 6 3 0 0 1 0.6 0.5909 0.73 0.2537 6
"10855" 119 "2012-04-02" "2012" 4 1 10 0 1 1 0.4 0.4091 0.5 0.5224 85
"12668" 117 "2012-06-17" "2012" 6 0 0 0 0 1 0.56 0.5303 0.56 0.1343 31
"4270" 238 "2011-07-01" "2011" 7 5 19 0 1 1 0.78 0.6667 0.25 0.194 80
"4182" 2 "2011-06-28" "2011" 6 2 3 0 1 2 0.66 0.6212 0.74 0 0
"14730" 144 "2012-09-10" "2012" 9 1 22 0 1 1 0.54 0.5152 0.52 0.1343 15
"5610" 196 "2011-08-26" "2011" 8 5 15 0 1 2 0.8 0.7727 0.59 0.194 53
"12103" 160 "2012-05-24" "2012" 5 4 11 0 1 1 0.66 0.6212 0.65 0.1343 61
"7675" 222 "2011-11-21" "2011" 11 1 9 0 1 2 0.48 0.4697 0.94 0.1045 15
"13068" 437 "2012-07-03" "2012" 7 2 16 0 1 2 0.9 0.7727 0.24 0.194 90
"7685" 135 "2011-11-21" "2011" 11 1 19 0 1 3 0.4 0.4091 0.94 0.194 2
"6733" 4 "2011-10-13" "2011" 10 4 2 0 1 2 0.54 0.5152 0.94 0 0
"9153" 4 "2012-01-22" "2012" 1 0 6 0 0 2 0.16 0.1515 0.74 0.2239 0
"7762" 22 "2011-11-25" "2011" 11 5 0 0 1 1 0.34 0.3333 0.76 0.1642 7
"2054" 54 "2011-03-31" "2011" 3 4 10 0 1 3 0.26 0.2424 0.93 0.2537 15
"7237" 4 "2011-11-03" "2011" 11 4 3 0 1 1 0.34 0.3333 0.81 0.1343 1
"13438" 7 "2012-07-19" "2012" 7 4 2 0 1 1 0.72 0.6818 0.7 0.194 0
"10131" 2 "2012-03-03" "2012" 3 6 4 0 0 2 0.36 0.3485 0.93 0.194 0
"4592" 16 "2011-07-15" "2011" 7 5 5 0 1 1 0.6 0.5909 0.73 0.1343 7
"11414" 649 "2012-04-25" "2012" 4 3 18 0 1 1 0.6 0.5909 0.2 0.2836 60
"16123" 214 "2012-11-09" "2012" 11 5 12 0 1 1 0.44 0.4394 0.41 0.3284 48
"6317" 279 "2011-09-25" "2011" 9 0 18 0 0 1 0.68 0.6364 0.74 0 125
"7080" 76 "2011-10-27" "2011" 10 4 14 0 1 2 0.52 0.5 0.83 0 16
"6292" 246 "2011-09-24" "2011" 9 6 17 0 0 1 0.66 0.6212 0.74 0.1045 180
"1429" 102 "2011-03-04" "2011" 3 5 19 0 1 1 0.32 0.303 0.61 0.2537 5
"14524" 99 "2012-09-02" "2012" 9 0 8 0 0 1 0.68 0.6364 0.89 0.0896 30
"6167" 138 "2011-09-19" "2011" 9 1 12 0 1 2 0.58 0.5455 0.6 0.0896 51
"4036" 19 "2011-06-22" "2011" 6 3 1 0 1 1 0.66 0.6061 0.78 0.1343 2
"15691" 136 "2012-10-20" "2012" 10 6 23 0 0 1 0.42 0.4242 0.58 0 27
"4194" 127 "2011-06-28" "2011" 6 2 15 0 1 1 0.86 0.7879 0.41 0 39
"15214" 6 "2012-10-01" "2012" 10 1 2 0 1 1 0.46 0.4545 0.72 0 6
"2529" 62 "2011-04-20" "2011" 4 3 6 0 1 1 0.42 0.4242 0.94 0.1642 2
"4994" 56 "2011-07-31" "2011" 7 0 23 0 0 1 0.74 0.697 0.66 0.2239 14
"9729" 318 "2012-02-15" "2012" 2 3 7 0 1 2 0.3 0.2879 0.65 0.194 3
"3378" 145 "2011-05-25" "2011" 5 3 15 0 1 1 0.76 0.697 0.52 0.2537 37
"6314" 234 "2011-09-25" "2011" 9 0 15 0 0 2 0.66 0.6061 0.78 0 119
"221" 28 "2011-01-10" "2011" 1 1 11 0 1 2 0.16 0.1364 0.47 0.2836 2
"17347" 101 "2012-12-30" "2012" 12 0 15 0 0 1 0.28 0.2576 0.38 0.3284 37
"293" 55 "2011-01-13" "2011" 1 4 15 0 1 1 0.24 0.2121 0.38 0.2985 5
"5402" 85 "2011-08-17" "2011" 8 3 23 0 1 1 0.7 0.6515 0.65 0.2836 20
"16461" 195 "2012-11-23" "2012" 11 5 14 0 1 1 0.5 0.4848 0.36 0.2537 240
"9106" 183 "2012-01-20" "2012" 1 5 7 0 1 1 0.22 0.2121 0.69 0.2239 2
"13237" 769 "2012-07-10" "2012" 7 2 17 0 1 1 0.78 0.7121 0.49 0.194 103
"7875" 347 "2011-11-29" "2011" 11 2 18 0 1 2 0.4 0.4091 0.82 0.2985 11
"15137" 235 "2012-09-27" "2012" 9 4 21 0 1 3 0.62 0.5758 0.83 0.2985 18
"14129" 273 "2012-08-16" "2012" 8 4 21 0 1 1 0.74 0.6667 0.48 0.194 83
"11016" 3 "2012-04-09" "2012" 4 1 3 0 1 1 0.44 0.4394 0.3 0.1642 0
"2372" 284 "2011-04-13" "2011" 4 3 17 0 1 1 0.46 0.4545 0.67 0.2985 25
"2786" 91 "2011-04-30" "2011" 4 6 23 0 0 1 0.44 0.4394 0.67 0.1045 34
"13708" 720 "2012-07-30" "2012" 7 1 8 0 1 2 0.72 0.697 0.74 0.1045 31
"3419" 393 "2011-05-27" "2011" 5 5 8 0 1 1 0.66 0.6212 0.74 0.2836 25
"14980" 726 "2012-09-21" "2012" 9 5 8 0 1 1 0.54 0.5152 0.73 0.1343 31
"4986" 184 "2011-07-31" "2011" 7 0 15 0 0 1 0.92 0.7727 0.18 0.2985 109
"7408" 110 "2011-11-10" "2011" 11 4 6 0 1 2 0.36 0.3485 1 0.1343 4
"7954" 62 "2011-12-03" "2011" 12 6 1 0 0 1 0.26 0.2576 0.65 0.194 9
"15423" 483 "2012-10-09" "2012" 10 2 19 0 1 2 0.5 0.4848 0.72 0.1642 31
"14797" 787 "2012-09-13" "2012" 9 4 17 0 1 1 0.72 0.6515 0.42 0.194 97
"8960" 3 "2012-01-14" "2012" 1 6 4 0 0 1 0.14 0.1515 0.5 0.1343 0
"8114" 352 "2011-12-09" "2011" 12 5 17 0 1 1 0.34 0.3485 0.66 0.1045 10
"16755" 184 "2012-12-05" "2012" 12 3 21 0 1 1 0.34 0.303 0.46 0.4179 14
"8240" 48 "2011-12-14" "2011" 12 3 23 0 1 1 0.32 0.3182 0.7 0.1642 3
"11413" 664 "2012-04-25" "2012" 4 3 17 0 1 1 0.6 0.5909 0.2 0.2985 68
"13788" 335 "2012-08-02" "2012" 8 4 16 0 1 1 0.82 0.7576 0.46 0.194 71
"5924" 276 "2011-09-09" "2011" 9 5 8 0 1 3 0.62 0.5455 0.94 0.1642 12
"8268" 3 "2011-12-16" "2011" 12 5 3 0 1 1 0.46 0.4545 0.82 0.1343 2
"8327" 200 "2011-12-18" "2011" 12 0 14 0 0 1 0.3 0.2879 0.49 0.2836 19
"6304" 2 "2011-09-25" "2011" 9 0 5 0 0 1 0.6 0.5455 0.88 0.0896 1
"3463" 10 "2011-05-29" "2011" 5 0 4 0 0 1 0.6 0.5455 0.88 0.0896 13
"11867" 156 "2012-05-14" "2012" 5 1 15 0 1 2 0.62 0.5909 0.73 0.1642 40
"16627" 241 "2012-11-30" "2012" 11 5 13 0 1 2 0.4 0.4091 0.4 0.1642 21
"13254" 148 "2012-07-11" "2012" 7 3 10 0 1 2 0.72 0.6818 0.62 0.1343 47
"12208" 203 "2012-05-28" "2012" 5 1 20 1 0 1 0.78 0.7424 0.62 0.2985 114
"9936" 34 "2012-02-24" "2012" 2 5 0 0 1 2 0.44 0.4394 0.58 0.0896 12
"8077" 2 "2011-12-08" "2011" 12 4 4 0 1 2 0.24 0.197 0.6 0.4627 0
"1151" 86 "2011-02-20" "2011" 2 0 17 0 0 1 0.34 0.3485 0.33 0.1642 60
"15472" 388 "2012-10-11" "2012" 10 4 20 0 1 1 0.42 0.4242 0.62 0.1642 27
"9224" 33 "2012-01-25" "2012" 1 3 5 0 1 1 0.26 0.2424 0.7 0.2836 0
"7293" 169 "2011-11-05" "2011" 11 6 11 0 0 1 0.36 0.3636 0.46 0.1045 69
"1934" 42 "2011-03-26" "2011" 3 6 8 0 0 1 0.22 0.2273 0.44 0.1343 24
"16994" 178 "2012-12-15" "2012" 12 6 20 0 0 2 0.36 0.3485 0.57 0.194 23
"3499" 208 "2011-05-30" "2011" 5 1 16 1 0 1 0.88 0.7879 0.37 0.2836 101
"16437" 95 "2012-11-22" "2012" 11 4 14 1 0 1 0.48 0.4697 0.29 0 125
"6917" 278 "2011-10-20" "2011" 10 4 19 0 1 1 0.46 0.4545 0.51 0.3582 20
"6550" 138 "2011-10-05" "2011" 10 3 11 0 1 1 0.6 0.6212 0.46 0.2836 32
"5325" 222 "2011-08-14" "2011" 8 0 18 0 0 1 0.74 0.697 0.66 0.1642 125
"17299" 151 "2012-12-28" "2012" 12 5 15 0 1 2 0.3 0.3182 0.49 0 74
"771" 73 "2011-02-04" "2011" 2 5 13 0 1 2 0.26 0.2576 0.5 0.2239 9
"10554" 299 "2012-03-20" "2012" 3 2 20 0 1 1 0.58 0.5455 0.68 0.0896 78
"16537" 502 "2012-11-26" "2012" 11 1 18 0 1 1 0.36 0.3485 0.5 0.1642 19
"13850" 12 "2012-08-05" "2012" 8 0 6 0 0 1 0.72 0.697 0.79 0.2537 7
"13331" 317 "2012-07-14" "2012" 7 6 15 0 0 1 0.8 0.7576 0.55 0.1642 243
"9946" 119 "2012-02-24" "2012" 2 5 10 0 1 3 0.36 0.3485 0.81 0.1642 22
"4044" 205 "2011-06-22" "2011" 6 3 9 0 1 1 0.72 0.697 0.79 0.1642 14
"6095" 212 "2011-09-16" "2011" 9 5 12 0 1 2 0.52 0.5 0.45 0 39
"11380" 599 "2012-04-24" "2012" 4 2 8 0 1 1 0.34 0.3182 0.61 0.2537 12
"342" 54 "2011-01-15" "2011" 1 6 17 0 0 2 0.32 0.303 0.36 0.2836 29
"3639" 212 "2011-06-05" "2011" 6 0 12 0 0 2 0.64 0.6061 0.69 0.1045 123
"14611" 126 "2012-09-05" "2012" 9 3 23 0 1 1 0.7 0.6667 0.84 0.0896 24
"6107" 80 "2011-09-17" "2011" 9 6 0 0 0 1 0.46 0.4545 0.72 0.1642 28
"788" 4 "2011-02-05" "2011" 2 6 6 0 0 3 0.2 0.2576 1 0 0
"3725" 6 "2011-06-09" "2011" 6 4 2 0 1 2 0.72 0.7121 0.84 0.1642 0
"8705" 70 "2012-01-03" "2012" 1 2 12 0 1 1 0.18 0.1364 0.37 0.5224 4
"8434" 11 "2011-12-23" "2011" 12 5 1 0 1 3 0.4 0.4091 0.87 0.194 1
"6467" 43 "2011-10-02" "2011" 10 0 0 0 0 3 0.36 0.3333 0.93 0.2985 4
"5826" 5 "2011-09-05" "2011" 9 1 4 1 0 2 0.68 0.6364 0.69 0.2836 3
"5564" 484 "2011-08-24" "2011" 8 3 17 0 1 1 0.76 0.697 0.52 0.3582 83
"15490" 262 "2012-10-12" "2012" 10 5 14 0 1 1 0.56 0.5303 0.37 0.4627 109
"15370" 243 "2012-10-07" "2012" 10 0 14 0 0 2 0.44 0.4394 0.67 0 71
"5470" 182 "2011-08-20" "2011" 8 6 19 0 0 1 0.74 0.6818 0.62 0.194 109
"7603" 207 "2011-11-18" "2011" 11 5 9 0 1 1 0.26 0.2576 0.41 0.194 6
"11687" 3 "2012-05-07" "2012" 5 1 3 0 1 1 0.5 0.4848 0.77 0.194 2
"4744" 81 "2011-07-21" "2011" 7 4 13 0 1 1 0.88 0.8939 0.56 0.2985 21
"5958" 241 "2011-09-10" "2011" 9 6 18 0 0 1 0.72 0.6667 0.58 0.194 119
"5804" 3 "2011-09-04" "2011" 9 0 6 0 0 1 0.64 0.5758 0.84 0.2239 0
"2371" 119 "2011-04-13" "2011" 4 3 16 0 1 1 0.46 0.4545 0.67 0.2836 23
"5105" 164 "2011-08-05" "2011" 8 5 14 0 1 2 0.78 0.7121 0.52 0.2537 81
"17108" 171 "2012-12-20" "2012" 12 4 14 0 1 2 0.36 0.3485 0.53 0.194 43
"9991" 20 "2012-02-26" "2012" 2 0 7 0 0 1 0.2 0.1818 0.51 0.2985 2
"3299" 65 "2011-05-22" "2011" 5 0 8 0 0 1 0.6 0.5909 0.73 0.0896 29
"8139" 144 "2011-12-10" "2011" 12 6 18 0 0 1 0.26 0.2576 0.38 0.2239 28
"6716" 183 "2011-10-12" "2011" 10 3 9 0 1 2 0.54 0.5152 0.88 0.4478 14
"9724" 4 "2012-02-15" "2012" 2 3 2 0 1 1 0.3 0.3333 0.61 0 0
"2955" 78 "2011-05-08" "2011" 5 0 0 0 0 2 0.5 0.4848 0.59 0.1045 22
"11278" 18 "2012-04-20" "2012" 4 5 2 0 1 1 0.44 0.4394 0.88 0.194 3
"12533" 259 "2012-06-11" "2012" 6 1 9 0 1 1 0.7 0.6515 0.65 0.1343 57
"12220" 588 "2012-05-29" "2012" 5 2 8 0 1 1 0.7 0.6667 0.74 0.194 46
"54" 153 "2011-01-03" "2011" 1 1 8 0 1 1 0.14 0.1212 0.5 0.2836 1
"13717" 765 "2012-07-30" "2012" 7 1 17 0 1 1 0.76 0.697 0.55 0.3284 62
"4770" 101 "2011-07-22" "2011" 7 5 15 0 1 1 0.94 0.9848 0.51 0.2985 32
"3194" 49 "2011-05-17" "2011" 5 2 23 0 1 2 0.54 0.5152 0.88 0.2537 7
"8128" 11 "2011-12-10" "2011" 12 6 7 0 0 1 0.24 0.2273 0.65 0.194 0
"2507" 331 "2011-04-19" "2011" 4 2 8 0 1 2 0.5 0.4848 0.68 0.1343 20
"5296" 92 "2011-08-13" "2011" 8 6 13 0 0 2 0.74 0.7121 0.74 0.3284 61
"16873" 409 "2012-12-10" "2012" 12 1 19 0 1 1 0.52 0.5 0.77 0.2836 18
"9872" 459 "2012-02-21" "2012" 2 2 8 0 1 1 0.2 0.2273 0.69 0.0896 5
"1405" 101 "2011-03-03" "2011" 3 4 19 0 1 1 0.2 0.197 0.4 0.2537 5
"14584" 338 "2012-09-04" "2012" 9 2 20 0 1 1 0.74 0.697 0.7 0.2537 47
"5542" 297 "2011-08-23" "2011" 8 2 19 0 1 1 0.66 0.6212 0.5 0.2239 70
"13511" 30 "2012-07-22" "2012" 7 0 3 0 0 2 0.6 0.5455 0.88 0.1045 13
"5763" 207 "2011-09-02" "2011" 9 5 13 0 1 2 0.68 0.6364 0.65 0.1343 72
"16849" 110 "2012-12-09" "2012" 12 0 19 0 0 3 0.38 0.3939 0.94 0.0896 12
"6266" 52 "2011-09-23" "2011" 9 5 15 0 1 3 0.62 0.5455 0.94 0.1045 9
"5178" 86 "2011-08-08" "2011" 8 1 15 0 1 1 0.84 0.7576 0.41 0.2985 40
"1654" 45 "2011-03-14" "2011" 3 1 11 0 1 1 0.36 0.3333 0.4 0.2537 26
"5303" 105 "2011-08-13" "2011" 8 6 20 0 0 2 0.68 0.6364 0.83 0.2239 78
"3860" 484 "2011-06-14" "2011" 6 2 17 0 1 3 0.64 0.6212 0.5 0.2836 85
"7150" 229 "2011-10-30" "2011" 10 0 12 0 0 1 0.38 0.3939 0.5 0.194 85
"11932" 605 "2012-05-17" "2012" 5 4 8 0 1 1 0.52 0.5 0.55 0.4478 29
"3831" 161 "2011-06-13" "2011" 6 1 12 0 1 1 0.66 0.6212 0.41 0.2836 35
"2907" 43 "2011-05-06" "2011" 5 5 0 0 1 1 0.44 0.4394 0.44 0.1642 13
"8360" 50 "2011-12-19" "2011" 12 1 23 0 1 1 0.36 0.3485 0.53 0.1642 10
"9378" 150 "2012-01-31" "2012" 1 2 15 0 1 1 0.54 0.5152 0.26 0.4478 27
"9175" 1 "2012-01-23" "2012" 1 1 4 0 1 2 0.2 0.2576 0.8 0 0
"6433" 173 "2011-09-30" "2011" 9 5 14 0 1 2 0.64 0.6212 0.47 0.2985 93
"3958" 227 "2011-06-18" "2011" 6 6 19 0 0 2 0.74 0.6667 0.51 0.1045 99
"12374" 719 "2012-06-04" "2012" 6 1 18 0 1 1 0.64 0.6212 0.38 0.3881 103
"15148" 674 "2012-09-28" "2012" 9 5 8 0 1 1 0.6 0.5606 0.83 0.0896 31
"8385" 18 "2011-12-21" "2011" 12 3 0 0 1 2 0.34 0.3333 0.71 0.1343 7
"8504" 6 "2011-12-26" "2011" 12 1 0 1 0 1 0.22 0.2273 0.75 0.1642 5
"11309" 216 "2012-04-21" "2012" 4 6 9 0 0 1 0.54 0.5152 0.77 0.1642 115
"1229" 104 "2011-02-24" "2011" 2 4 7 0 1 1 0.2 0.197 0.72 0.194 0
"1740" 4 "2011-03-18" "2011" 3 5 3 0 1 1 0.36 0.3485 0.71 0.194 1
"364" 78 "2011-01-16" "2011" 1 0 15 0 0 1 0.26 0.2424 0.38 0.2537 35
"5944" 4 "2011-09-10" "2011" 9 6 4 0 0 1 0.58 0.5455 0.94 0.0896 3
"570" 49 "2011-01-25" "2011" 1 2 22 0 1 1 0.22 0.2273 0.64 0.1642 4
"3631" 8 "2011-06-05" "2011" 6 0 4 0 0 2 0.62 0.6061 0.65 0.1642 4
"16772" 175 "2012-12-06" "2012" 12 4 14 0 1 1 0.3 0.3182 0.42 0.0896 37
"12293" 274 "2012-06-01" "2012" 6 5 9 0 1 2 0.64 0.5758 0.83 0.2239 24
"1850" 142 "2011-03-22" "2011" 3 2 19 0 1 2 0.44 0.4394 0.54 0.2537 22
"5259" 53 "2011-08-12" "2011" 8 5 0 0 1 1 0.64 0.6212 0.53 0.1642 12
"2290" 4 "2011-04-10" "2011" 4 0 6 0 0 2 0.36 0.3636 0.93 0.0896 0
"6068" 186 "2011-09-15" "2011" 9 4 9 0 1 2 0.64 0.6061 0.73 0.3582 23
"8923" 156 "2012-01-12" "2012" 1 4 15 0 1 1 0.44 0.4394 0.72 0.1343 32
"10479" 357 "2012-03-17" "2012" 3 6 17 0 0 1 0.64 0.6212 0.5 0.1343 291
"1473" 8 "2011-03-06" "2011" 3 0 16 0 0 3 0.36 0.3333 1 0.2836 3
"15657" 288 "2012-10-19" "2012" 10 5 13 0 1 1 0.62 0.5909 0.73 0.2239 87
"528" 1 "2011-01-24" "2011" 1 1 3 0 1 1 0.04 0.0303 0.45 0.2537 0
"16642" 5 "2012-12-01" "2012" 12 6 4 0 0 1 0.26 0.2879 0.81 0.0896 0
"7684" 184 "2011-11-21" "2011" 11 1 18 0 1 3 0.42 0.4242 0.88 0.194 8
"7520" 96 "2011-11-14" "2011" 11 1 22 0 1 1 0.58 0.5455 0.56 0.3582 17
"5193" 95 "2011-08-09" "2011" 8 2 6 0 1 1 0.72 0.6667 0.64 0 6
"15232" 251 "2012-10-01" "2012" 10 1 20 0 1 3 0.54 0.5152 0.68 0 11
"13065" 203 "2012-07-03" "2012" 7 2 13 0 1 1 0.9 0.7727 0.25 0.1343 80
"17198" 68 "2012-12-24" "2012" 12 1 9 0 1 2 0.24 0.2576 0.65 0.1045 17
"10191" 180 "2012-03-05" "2012" 3 1 16 0 1 1 0.3 0.2727 0.45 0.2985 30
"8276" 135 "2011-12-16" "2011" 12 5 11 0 1 2 0.34 0.303 0.42 0.2985 9
"4373" 4 "2011-07-06" "2011" 7 3 2 0 1 1 0.7 0.6667 0.79 0.0896 1
"8143" 88 "2011-12-10" "2011" 12 6 22 0 0 1 0.22 0.2273 0.41 0.1343 7
"71" 2 "2011-01-04" "2011" 1 2 1 0 1 1 0.16 0.1818 0.59 0.1045 0
"15458" 158 "2012-10-11" "2012" 10 4 6 0 1 1 0.36 0.3485 0.5 0.1642 1
"14474" 101 "2012-08-31" "2012" 8 5 6 0 1 2 0.64 0.5758 0.89 0.1642 7
"10184" 186 "2012-03-05" "2012" 3 1 9 0 1 2 0.22 0.2576 0.6 0.0896 11
"10126" 19 "2012-03-02" "2012" 3 5 23 0 1 2 0.36 0.3788 0.87 0 4
"10950" 318 "2012-04-06" "2012" 4 5 9 0 1 1 0.34 0.303 0.42 0.3284 58
"12020" 28 "2012-05-21" "2012" 5 1 0 0 1 3 0.58 0.5455 0.88 0.2985 12
"14489" 232 "2012-08-31" "2012" 8 5 21 0 1 1 0.76 0.7121 0.58 0.194 71
"4609" 152 "2011-07-15" "2011" 7 5 22 0 1 1 0.66 0.6212 0.57 0.2239 71
"8787" 123 "2012-01-06" "2012" 1 5 22 0 1 1 0.36 0.3485 0.5 0.194 12
"15279" 544 "2012-10-03" "2012" 10 3 19 0 1 1 0.7 0.6515 0.65 0 49
"12364" 643 "2012-06-04" "2012" 6 1 8 0 1 1 0.6 0.6212 0.49 0.2239 22
"8150" 6 "2011-12-11" "2011" 12 0 5 0 0 1 0.18 0.2121 0.59 0.1045 0
"3398" 124 "2011-05-26" "2011" 5 4 11 0 1 1 0.74 0.697 0.66 0.2239 36
"14372" 28 "2012-08-27" "2012" 8 1 0 0 1 1 0.62 0.5758 0.83 0 4
"12559" 57 "2012-06-12" "2012" 6 2 11 0 1 3 0.66 0.6061 0.83 0.3582 8
"6732" 9 "2011-10-13" "2011" 10 4 1 0 1 2 0.54 0.5152 0.94 0 3
"4116" 139 "2011-06-25" "2011" 6 6 9 0 0 1 0.72 0.6515 0.45 0.2537 47
"4310" 175 "2011-07-03" "2011" 7 0 11 0 0 1 0.76 0.7121 0.62 0.1045 215
"7065" 72 "2011-10-26" "2011" 10 3 23 0 1 2 0.48 0.4697 0.88 0.0896 3
"13014" 268 "2012-07-01" "2012" 7 0 10 0 0 1 0.86 0.7879 0.44 0.2985 98
"9246" 5 "2012-01-26" "2012" 1 4 3 0 1 2 0.28 0.303 0.75 0.0896 1
"9753" 285 "2012-02-16" "2012" 2 4 7 0 1 2 0.3 0.303 0.7 0.1343 3
"550" 5 "2011-01-25" "2011" 1 2 1 0 1 2 0.16 0.1667 0.69 0.1642 0
"3814" 156 "2011-06-12" "2011" 6 0 19 0 0 1 0.7 0.6667 0.74 0.1045 67
"1838" 132 "2011-03-22" "2011" 3 2 7 0 1 2 0.4 0.4091 0.76 0.1045 4
"13044" 304 "2012-07-02" "2012" 7 1 16 0 1 1 0.84 0.7424 0.36 0.2836 61
